2026-09-12	Philadelphia, PA	Xfinity Mobile Arena	300064D1BD353E23
2026-09-15	Raleigh, NC	Lenovo Center	2D0064D1B0656148
2026-09-17	Birmingham, AL	Legacy Arena at the BJCC	200064D18B4018AD
2026-09-19	New Orleans, LA	Smoothie King Center	1B0064D0BDDAA6A4
2026-09-23	Austin, TX	Moody Center	3A0064D1BCBBD674
2026-09-26	Dallas, TX	American Airlines Center	0C0064D1BA34A3F0
2026-10-01	Inglewood, CA	Intuit Dome	090064D1B0F2AB13
2026-10-04	Phoenix, AZ	Mortgage Matchup Center	190064D1B68C8178
2026-10-07	San Francisco, CA	Chase Center	1C0064D09CBD9C82
2026-10-08	Sacramento, CA	Golden 1 Center	1C0064D09899943D
2026-10-12	St. Louis, MO	Enterprise Center	060064D193F3831B
2026-10-14	Nashville, TN	Bridgestone Arena	1B0064D1D297D9E5
2026-10-16	Washington, DC	Capital One Arena	150064D09F1B6CBD
2026-10-19	Detroit, MI	Little Caesars Arena	080064D0D671B929
2026-10-22	Columbus, OH	Schottenstein Center	050064D1D0AE1FA1
2026-10-23	Pittsburgh, PA	PPG Paints Arena	160064D1B956C130
2026-10-25	Boston, MA	TD Garden	010064D0AF18F3E7
2026-10-27	Brooklyn, NY	Barclays Center	300064D00FB17794
2026-10-31	Chicago, IL	United Center	040064D0DB24B9E5
2026-11-03	Charlotte, NC	Spectrum Center	2D0064D19265BC9A
2026-11-04	Charlotte, NC	Spectrum Center N2	2D0064D19269BCCA
2026-11-06	Columbia, SC	Colonial Life Arena	2D0064D0DAD9D273
2026-11-09	Orlando, FL	Kia Center	220064D1D802540F
2026-11-18	Atlanta, GA	State Farm Arena	0E0064D01EE7C7F2
